,,BOOSTING,BOOSTING
,,"base_estimator=DecisionTreeClassifier(max_depth=4),n_estimators=10","base_estimator=DecisionTreeClassifier(max_depth=4),n_estimators=20"
dataset,train/test_type,,
normal_d=1764,70/30-HOLDOUT,0.2833333333333333,0.32666666666666666
normal_d=1764,80/20-HOLDOUT,0.355,0.33
normal_d=1764,90/10-HOLDOUT,0.27,0.24
normal_d=1764,10-FOLD,0.33,0.31900000000000006
normal_d=900,70/30-HOLDOUT,0.38333333333333336,0.2966666666666667
normal_d=900,80/20-HOLDOUT,0.3,0.355
normal_d=900,90/10-HOLDOUT,0.29,0.34
normal_d=900,10-FOLD,0.339,0.3390000000000001
pca_d=459,70/30-HOLDOUT,0.3,0.28
pca_d=459,80/20-HOLDOUT,0.235,0.195
pca_d=459,90/10-HOLDOUT,0.31,0.27
pca_d=459,10-FOLD,0.29700000000000004,0.298
noncorr_d=540,70/30-HOLDOUT,0.27666666666666667,0.32
noncorr_d=540,80/20-HOLDOUT,0.315,0.31
noncorr_d=540,90/10-HOLDOUT,0.38,0.31
noncorr_d=540,10-FOLD,0.321,0.32300000000000006
