,,KNN,KNN,KNN,KNN,KNN
,,n_neighbors=1,n_neighbors=2,n_neighbors=3,n_neighbors=4,n_neighbors=5
dataset,train/test_type,,,,,
normal_d=1764,70/30-HOLDOUT,0.3466666666666667,0.29,0.31333333333333335,0.2633333333333333,0.28
normal_d=1764,80/20-HOLDOUT,0.34,0.325,0.315,0.27,0.275
normal_d=1764,90/10-HOLDOUT,0.32,0.34,0.36,0.34,0.33
normal_d=1764,10-FOLD,0.34299999999999997,0.333,0.33999999999999997,0.324,0.32599999999999996
normal_d=900,70/30-HOLDOUT,0.3933333333333333,0.37,0.38666666666666666,0.36333333333333334,0.35333333333333333
normal_d=900,80/20-HOLDOUT,0.43,0.38,0.405,0.38,0.375
normal_d=900,90/10-HOLDOUT,0.48,0.38,0.41,0.5,0.44
normal_d=900,10-FOLD,0.40099999999999997,0.395,0.372,0.366,0.354
pca_d=459,70/30-HOLDOUT,0.33,0.27666666666666667,0.3,0.30333333333333334,0.2966666666666667
pca_d=459,80/20-HOLDOUT,0.325,0.285,0.305,0.305,0.275
pca_d=459,90/10-HOLDOUT,0.32,0.3,0.33,0.35,0.31
pca_d=459,10-FOLD,0.35,0.331,0.32999999999999996,0.339,0.32799999999999996
noncorr_d=540,70/30-HOLDOUT,0.29333333333333333,0.2866666666666667,0.2966666666666667,0.29333333333333333,0.29333333333333333
noncorr_d=540,80/20-HOLDOUT,0.33,0.3,0.295,0.275,0.28
noncorr_d=540,90/10-HOLDOUT,0.31,0.34,0.32,0.31,0.38
noncorr_d=540,10-FOLD,0.33599999999999997,0.319,0.312,0.30599999999999994,0.329
