,,MLP,MLP,MLP,MLP
,,activation=identity,activation=logistic,activation=tanh,activation=relu
dataset,train/test_type,,,,
normal_d=1764,70/30-HOLDOUT,0.49333333333333335,0.5133333333333333,0.5,0.5333333333333333
normal_d=1764,80/20-HOLDOUT,0.485,0.495,0.495,0.54
normal_d=1764,90/10-HOLDOUT,0.51,0.54,0.56,0.59
normal_d=1764,10-FOLD,0.5050000000000001,0.539,0.542,0.5630000000000001
normal_d=900,70/30-HOLDOUT,0.5,0.5233333333333333,0.5066666666666667,0.53
normal_d=900,80/20-HOLDOUT,0.505,0.55,0.545,0.605
normal_d=900,90/10-HOLDOUT,0.5,0.54,0.64,0.64
normal_d=900,10-FOLD,0.495,0.526,0.5339999999999999,0.5690000000000001
pca_d=459,70/30-HOLDOUT,0.43,0.45666666666666667,0.4533333333333333,0.4633333333333333
pca_d=459,80/20-HOLDOUT,0.42,0.46,0.445,0.465
pca_d=459,90/10-HOLDOUT,0.48,0.47,0.53,0.47
pca_d=459,10-FOLD,0.471,0.49000000000000005,0.507,0.489
noncorr_d=540,70/30-HOLDOUT,0.45666666666666667,0.4666666666666667,0.48,0.5133333333333333
noncorr_d=540,80/20-HOLDOUT,0.45,0.485,0.51,0.465
noncorr_d=540,90/10-HOLDOUT,0.45,0.47,0.51,0.51
noncorr_d=540,10-FOLD,0.47300000000000003,0.49300000000000005,0.5080000000000001,0.529
