dataset,train/test_type,10,20
normal_d=1764,Holdout: 70/30,0.4633333333333333,0.4533333333333333
normal_d=1764,Holdout: 80/20,0.49,0.495
normal_d=1764,Holdout: 90/10,0.47,0.5
normal_d=1764,10-fold,0.5219999999999999,0.508
normal_d=900,Holdout: 70/30,0.5433333333333333,0.55
normal_d=900,Holdout: 80/20,0.485,0.51
normal_d=900,Holdout: 90/10,0.47,0.47
normal_d=900,10-fold,0.527,0.539
normal_d=459,Holdout: 70/30,0.37333333333333335,0.38666666666666666
normal_d=459,Holdout: 80/20,0.415,0.375
normal_d=459,Holdout: 90/10,0.42,0.46
normal_d=459,10-fold,0.3950000000000001,0.398
normal_d=540,Holdout: 70/30,0.4533333333333333,0.47333333333333333
normal_d=540,Holdout: 80/20,0.5,0.49
normal_d=540,Holdout: 90/10,0.47,0.5
normal_d=540,10-fold,0.49400000000000005,0.497
